Frequency (Hz)	Level (dB)
3058.593750	-68.218849
3064.453125	-63.743778
3070.312500	-60.394096
3076.171875	-61.774559
3082.031250	-62.378036
3087.890625	-63.872398
3093.750000	-63.205990
3099.609375	-56.224667
3105.468750	-49.789467
3111.328125	-48.130108
3117.187500	-50.574245
3123.046875	-55.705959
3128.906250	-49.927151
3134.765625	-46.804245
3140.625000	-46.501225
3146.484375	-49.182877
3152.343750	-58.476357
3158.203125	-63.066483
3164.062500	-64.836487
3169.921875	-65.530060
3175.781250	-65.912270
3181.640625	-62.766193
3187.500000	-64.298477
3193.359375	-67.362778
3199.218750	-62.850681
3205.078125	-62.788876
3210.937500	-67.252754
3216.796875	-66.481964
3222.656250	-64.054955
3228.515625	-65.452972
3234.375000	-67.342484
3240.234375	-66.940704
3246.093750	-68.011879
3251.953125	-68.880814
3257.812500	-66.150658
3263.671875	-61.519859
3269.531250	-61.636150
3275.390625	-64.876534
3281.250000	-63.119968
3287.109375	-55.574520
3292.968750	-50.833603
3298.828125	-50.703823
3304.687500	-56.342201
3310.546875	-63.058281
3316.406250	-64.799484
3322.265625	-63.998154
3328.125000	-60.663090
3333.984375	-60.188084
3339.843750	-61.745441
3345.703125	-63.108974
3351.562500	-65.258965
3357.421875	-67.494194
3363.281250	-68.895760
3369.140625	-69.354622
3375.000000	-64.972649
3380.859375	-65.318962
3386.718750	-67.444191
3392.578125	-62.597809
3398.437500	-59.902531
3404.296875	-64.527916
3410.156250	-67.986725
3416.015625	-66.247177
3421.875000	-67.066376
3427.734375	-67.891823
3433.593750	-70.175293
3439.453125	-71.068054
3445.312500	-70.086769
3451.171875	-65.608009
3457.031250	-61.861656
3462.890625	-60.098370
3468.750000	-64.536087
3474.609375	-65.137520
3480.468750	-67.188019
3486.328125	-67.248062
3492.187500	-65.320038
3498.046875	-66.268097
3503.906250	-66.272545
3509.765625	-60.253963
3515.625000	-53.344398
3521.484375	-51.613262
3527.343750	-54.362232
3533.203125	-61.213287
3539.062500	-66.836533
3544.921875	-68.190231
3550.781250	-64.533646
3556.640625	-61.391411
3562.500000	-66.481064
3568.359375	-63.257072
3574.218750	-62.242710
3580.078125	-68.411736
3585.937500	-67.290573
3591.796875	-60.617451
3597.656250	-62.638241
3603.515625	-69.149284
3609.375000	-69.120651
3615.234375	-67.162476
3621.093750	-63.967331
3626.953125	-63.754044
3632.812500	-66.282394
3638.671875	-68.198288
3644.531250	-64.691887
3650.390625	-59.039753
3656.250000	-54.107731
3662.109375	-53.186844
3667.968750	-57.129436
3673.828125	-62.112312
3679.687500	-62.753567
3685.546875	-61.478844
3691.406250	-54.746777
3697.265625	-51.545258
3703.125000	-50.632702
3708.984375	-55.839260
3714.843750	-58.929916
3720.703125	-56.297554
3726.562500	-52.223534
3732.421875	-48.029598
3738.281250	-48.766945
3744.140625	-57.341610
3750.000000	-62.778770
3755.859375	-65.107056
3761.718750	-66.278152
3767.578125	-65.789848
3773.437500	-67.889381
3779.296875	-68.708710
3785.156250	-65.067856
3791.015625	-63.468414
3796.875000	-67.733505
3802.734375	-67.645653
3808.593750	-66.660469
3814.453125	-66.253510
3820.312500	-67.444611
3826.171875	-69.615646
3832.031250	-68.415771
3837.890625	-67.396698
3843.750000	-67.346222
3849.609375	-65.870964
3855.468750	-63.955486
3861.328125	-67.855911
3867.187500	-67.826752
3873.046875	-68.642616
3878.906250	-67.758812
3884.765625	-67.019585
3890.625000	-67.782990
3896.484375	-65.746788
3902.343750	-62.457291
3908.203125	-55.318661
3914.062500	-49.745850
3919.921875	-48.818138
3925.781250	-50.992123
3931.640625	-59.158161
3937.500000	-63.074799
3943.359375	-60.250778
3949.218750	-55.324261
3955.078125	-52.110020
3960.937500	-53.395439
3966.796875	-60.249149
3972.656250	-66.030350
3978.515625	-66.020241
3984.375000	-61.525745
3990.234375	-64.772415
3996.093750	-69.232780
4001.953125	-68.501823
4007.812500	-65.522934
4013.671875	-64.140053
4019.531250	-67.206894
4025.390625	-70.599869
4031.250000	-70.629623
4037.109375	-68.797028
4042.968750	-68.676193
4048.828125	-65.625824
4054.687500	-66.583000
4060.546875	-68.696472
4066.406250	-67.153778
4072.265625	-68.983505
4078.125000	-69.953934
4083.984375	-71.805832
4089.843750	-70.725861
4095.703125	-67.918404
4101.562500	-65.740166
4107.421875	-61.319927
4113.281250	-58.815884
4119.140625	-60.585613
4125.000000	-67.899712
4130.859375	-71.284309
4136.718750	-71.129944
4142.578125	-69.828766
4148.437500	-66.717682
4154.296875	-66.812683
4160.156250	-67.539017
4166.015625	-65.648270
4171.875000	-59.860935
4177.734375	-53.949005
4183.593750	-50.313480
4189.453125	-50.308376
4195.312500	-58.481743
4201.171875	-64.616875
4207.031250	-59.740974
4212.890625	-59.419907
4218.750000	-64.936623
4224.609375	-68.597229
4230.468750	-66.501976
4236.328125	-68.838493
4242.187500	-62.513599
4248.046875	-59.833134
4253.906250	-66.572350
4259.765625	-70.145866
4265.625000	-70.784416
4271.484375	-68.898514
4277.343750	-66.685440
4283.203125	-65.366608
4289.062500	-68.180061
4294.921875	-65.925224
4300.781250	-59.336689
4306.640625	-57.737556
4312.500000	-60.710083
4318.359375	-66.435738
4324.218750	-70.669106
4330.078125	-70.288490
4335.937500	-67.209389
4341.796875	-60.698193
4347.656250	-53.034470
4353.515625	-51.403687
4359.375000	-53.951416
4365.234375	-61.398777
4371.093750	-64.724014
4376.953125	-62.275551
4382.812500	-64.817932
4388.671875	-63.288174
4394.531250	-56.039253
4400.390625	-53.902786
4406.250000	-57.585236
4412.109375	-63.742260
4417.968750	-66.258423
4423.828125	-64.595467
4429.687500	-58.964756
4435.546875	-52.418732
4441.406250	-49.664547
4447.265625	-53.716423
4453.125000	-61.270542
4458.984375	-63.238926
4464.843750	-65.155998
4470.703125	-67.814011
4476.562500	-69.711906
4482.421875	-70.632767
4488.281250	-70.538414
4494.140625	-68.152901
4500.000000	-64.001770
4505.859375	-62.843487
4511.718750	-66.570724
4517.578125	-71.598213
4523.437500	-71.863350
4529.296875	-69.058388
4535.156250	-66.591721
4541.015625	-68.095413
4546.875000	-69.768257
4552.734375	-69.271408
4558.593750	-66.443039
4564.453125	-64.712105
4570.312500	-64.680885
4576.171875	-65.267097
4582.031250	-68.783798
4587.890625	-68.494240
4593.750000	-63.398094
4599.609375	-60.418205
4605.468750	-55.306339
4611.328125	-52.385418
4617.187500	-53.792099
4623.046875	-60.450291
4628.906250	-67.573944
