Frequency (Hz)	Level (dB)
2789.062500	-61.301182
2794.921875	-61.219044
2800.781250	-62.871284
2806.640625	-61.157585
2812.500000	-61.029697
2818.359375	-68.314133
2824.218750	-70.874870
2830.078125	-63.987904
2835.937500	-59.910091
2841.796875	-59.594055
2847.656250	-64.377495
2853.515625	-63.412743
2859.375000	-61.271584
2865.234375	-60.199306
2871.093750	-58.790016
2876.953125	-58.709724
2882.812500	-64.322311
2888.671875	-65.423645
2894.531250	-67.991936
2900.390625	-66.751762
2906.250000	-64.655884
2912.109375	-62.246719
2917.968750	-65.651825
2923.828125	-66.000923
2929.687500	-61.414425
2935.546875	-57.811905
2941.406250	-58.417553
2947.265625	-60.522427
2953.125000	-54.197365
2958.984375	-47.917088
2964.843750	-49.096169
2970.703125	-59.556450
2976.562500	-66.339218
2982.421875	-65.833366
2988.281250	-64.125298
2994.140625	-66.261536
3000.000000	-63.620770
3005.859375	-60.701988
3011.718750	-64.789238
3017.578125	-65.698044
3023.437500	-63.679993
3029.296875	-64.203201
3035.156250	-65.496803
3041.015625	-65.903236
3046.875000	-65.467651
3052.734375	-67.553314
3058.593750	-68.289253
3064.453125	-63.533279
3070.312500	-59.908733
3076.171875	-60.520916
3082.031250	-61.878651
3087.890625	-63.802227
3093.750000	-63.031128
3099.609375	-55.480492
3105.468750	-48.531025
3111.328125	-47.950245
3117.187500	-50.801853
3123.046875	-55.053429
3128.906250	-49.197853
3134.765625	-45.104382
3140.625000	-44.802189
3146.484375	-48.496746
3152.343750	-55.155018
3158.203125	-59.982349
3164.062500	-63.409771
3169.921875	-64.842445
3175.781250	-65.055862
3181.640625	-62.556080
3187.500000	-64.045792
3193.359375	-66.706940
3199.218750	-62.264393
3205.078125	-61.504799
3210.937500	-64.932198
3216.796875	-65.867638
3222.656250	-63.618114
3228.515625	-64.431656
3234.375000	-66.403061
3240.234375	-66.281273
3246.093750	-67.889168
3251.953125	-68.797279
3257.812500	-65.527901
3263.671875	-61.047993
3269.531250	-61.310944
3275.390625	-64.354156
3281.250000	-63.008888
3287.109375	-55.084946
3292.968750	-50.481228
3298.828125	-50.999809
3304.687500	-55.835098
3310.546875	-62.056992
3316.406250	-63.512001
