Frequency (Hz)	Level (dB)
3087.890625	-54.906948
3093.750000	-53.817677
3099.609375	-53.893948
3105.468750	-54.407551
3111.328125	-55.070908
3117.187500	-56.158741
3123.046875	-55.088638
3128.906250	-53.224854
3134.765625	-52.756958
3140.625000	-52.831932
3146.484375	-52.696320
3152.343750	-52.255051
3158.203125	-49.905724
3164.062500	-53.409561
3169.921875	-54.753422
3175.781250	-53.997616
3181.640625	-55.343098
3187.500000	-56.809315
3193.359375	-56.846352
3199.218750	-53.191147
3205.078125	-53.254498
3210.937500	-53.872795
3216.796875	-52.896603
3222.656250	-52.458332
3228.515625	-53.550896
3234.375000	-52.751934
3240.234375	-52.333027
3246.093750	-52.968735
3251.953125	-53.903385
3257.812500	-57.320442
3263.671875	-55.143150
3269.531250	-53.974060
3275.390625	-56.463303
3281.250000	-55.695389
3287.109375	-53.592598
3292.968750	-54.715736
3298.828125	-54.561619
3304.687500	-55.200108
3310.546875	-53.772064
3316.406250	-52.835876
3322.265625	-54.836712
3328.125000	-55.078911
3333.984375	-53.463348
3339.843750	-52.903282
3345.703125	-54.048309
3351.562500	-55.420887
3357.421875	-56.575405
3363.281250	-55.530407
3369.140625	-53.777802
3375.000000	-54.999012
3380.859375	-54.773819
3386.718750	-55.235691
3392.578125	-56.222046
3398.437500	-55.869659
3404.296875	-57.283539
3410.156250	-56.152287
3416.015625	-54.967754
3421.875000	-54.415936
3427.734375	-51.853306
3433.593750	-54.011887
3439.453125	-54.902596
3445.312500	-55.310406
3451.171875	-56.233650
3457.031250	-57.007092
3462.890625	-57.644260
3468.750000	-57.493290
3474.609375	-58.779446
3480.468750	-58.874516
3486.328125	-53.645073
3492.187500	-50.019722
3498.046875	-53.855858
3503.906250	-55.237946
3509.765625	-55.350525
3515.625000	-56.684143
3521.484375	-56.111984
3527.343750	-54.764256
3533.203125	-54.604912
3539.062500	-54.645023
3544.921875	-55.455154
3550.781250	-56.868443
3556.640625	-56.862179
3562.500000	-55.734169
3568.359375	-57.549927
3574.218750	-58.783367
3580.078125	-58.484657
3585.937500	-56.781078
3591.796875	-55.667988
3597.656250	-54.186218
3603.515625	-54.016239
3609.375000	-54.252018
3615.234375	-54.072147
3621.093750	-54.052547
3626.953125	-54.708340
3632.812500	-55.403332
3638.671875	-55.906212
3644.531250	-55.457550
3650.390625	-53.237339
3656.250000	-55.002647
3662.109375	-58.385971
3667.968750	-56.697884
3673.828125	-55.912468
3679.687500	-58.068111
3685.546875	-58.271477
3691.406250	-55.730232
3697.265625	-54.636536
3703.125000	-55.587166
3708.984375	-55.349552
3714.843750	-55.157703
3720.703125	-55.841141
3726.562500	-56.070751
3732.421875	-57.797256
3738.281250	-56.286957
3744.140625	-55.180683
3750.000000	-56.149509
3755.859375	-58.515713
3761.718750	-58.154812
3767.578125	-57.588123
