Frequency (Hz)	Level (dB)
2378.906250	-59.959312
2384.765625	-60.073963
2390.625000	-61.067917
2396.484375	-61.837223
2402.343750	-60.063465
2408.203125	-60.816296
2414.062500	-61.476284
2419.921875	-60.858387
2425.781250	-59.569401
2431.640625	-61.003296
2437.500000	-60.536427
2443.359375	-60.776367
2449.218750	-60.843723
2455.078125	-60.769440
2460.937500	-59.212101
2466.796875	-57.998775
2472.656250	-60.241486
2478.515625	-59.519966
2484.375000	-59.685585
2490.234375	-61.115234
2496.093750	-60.916885
2501.953125	-59.949192
2507.812500	-59.744984
2513.671875	-62.223183
2519.531250	-61.747742
2525.390625	-61.778423
2531.250000	-62.621506
2537.109375	-62.041981
2542.968750	-60.692047
2548.828125	-61.712700
2554.687500	-62.746552
2560.546875	-62.587460
2566.406250	-60.734734
2572.265625	-59.718948
2578.125000	-62.344765
2583.984375	-64.331383
2589.843750	-64.843849
2595.703125	-63.831253
2601.562500	-64.497147
2607.421875	-62.218281
2613.281250	-61.472702
2619.140625	-61.512081
2625.000000	-59.749203
2630.859375	-59.239788
2636.718750	-59.592117
2642.578125	-58.703743
2648.437500	-57.654221
2654.296875	-59.116959
2660.156250	-60.246067
2666.015625	-63.585342
2671.875000	-63.399616
2677.734375	-64.114090
2683.593750	-65.073540
2689.453125	-65.516457
2695.312500	-66.164497
2701.171875	-63.475716
2707.031250	-64.158607
2712.890625	-61.931286
2718.750000	-60.673828
2724.609375	-62.745972
2730.468750	-62.858711
2736.328125	-63.140038
2742.187500	-61.570061
2748.046875	-60.547371
2753.906250	-60.043266
2759.765625	-62.092945
2765.625000	-63.526310
2771.484375	-61.602310
2777.343750	-62.374374
2783.203125	-64.434296
2789.062500	-63.724388
2794.921875	-60.447895
2800.781250	-62.169193
2806.640625	-64.934616
2812.500000	-64.486305
2818.359375	-64.950157
2824.218750	-63.082779
2830.078125	-65.544670
2835.937500	-63.165569
2841.796875	-62.142410
2847.656250	-62.980694
2853.515625	-64.658882
2859.375000	-64.421204
2865.234375	-62.391361
2871.093750	-64.164307
2876.953125	-64.994881
2882.812500	-65.424751
2888.671875	-64.101364
2894.531250	-63.191605
2900.390625	-65.477119
2906.250000	-65.246040
2912.109375	-64.913521
2917.968750	-64.730164
2923.828125	-66.083183
2929.687500	-66.709038
2935.546875	-65.410057
2941.406250	-64.121056
2947.265625	-64.878807
2953.125000	-64.251755
2958.984375	-63.592957
2964.843750	-64.866547
2970.703125	-64.255455
2976.562500	-64.132385
2982.421875	-66.107635
2988.281250	-67.079506
2994.140625	-66.796173
3000.000000	-66.560829
3005.859375	-66.798454
3011.718750	-64.637047
3017.578125	-61.526543
3023.437500	-59.624470
3029.296875	-60.234482
3035.156250	-62.117352
3041.015625	-62.096565
3046.875000	-62.059509
3052.734375	-63.357460
3058.593750	-64.859428
3064.453125	-64.900543
3070.312500	-64.760826
3076.171875	-66.866119
3082.031250	-66.743225
3087.890625	-66.450287
3093.750000	-65.313164
3099.609375	-65.125763
3105.468750	-65.785019
3111.328125	-66.638206
3117.187500	-67.234528
3123.046875	-66.912865
3128.906250	-65.038361
3134.765625	-63.840549
3140.625000	-64.230423
3146.484375	-64.418777
3152.343750	-64.549286
3158.203125	-61.811398
3164.062500	-64.432121
3169.921875	-65.951073
3175.781250	-65.646919
3181.640625	-66.553139
3187.500000	-68.415970
3193.359375	-68.100822
3199.218750	-64.857635
3205.078125	-65.618294
3210.937500	-66.142578
3216.796875	-64.554550
3222.656250	-63.977543
3228.515625	-64.855087
3234.375000	-64.681107
3240.234375	-64.490601
3246.093750	-65.434509
3251.953125	-66.381569
3257.812500	-68.875114
3263.671875	-67.225441
3269.531250	-66.148575
3275.390625	-68.075493
3281.250000	-67.552635
3287.109375	-65.381653
3292.968750	-65.801315
3298.828125	-66.225647
3304.687500	-66.853241
3310.546875	-65.958099
3316.406250	-64.712532
3322.265625	-66.691742
3328.125000	-66.768913
3333.984375	-65.459290
3339.843750	-65.364548
3345.703125	-66.920792
3351.562500	-67.415215
3357.421875	-68.415451
3363.281250	-67.902000
3369.140625	-66.003090
3375.000000	-66.764023
3380.859375	-67.120338
3386.718750	-67.255363
3392.578125	-68.879524
3398.437500	-68.252899
3404.296875	-69.597252
3410.156250	-68.110039
3416.015625	-67.264091
3421.875000	-67.155029
3427.734375	-64.236702
3433.593750	-66.860931
3439.453125	-67.325066
3445.312500	-67.378418
3451.171875	-68.128479
3457.031250	-68.957649
3462.890625	-69.655922
3468.750000	-70.059479
3474.609375	-70.679825
3480.468750	-71.032639
3486.328125	-66.214996
3492.187500	-62.413345
3498.046875	-66.214355
3503.906250	-68.166962
3509.765625	-67.727539
3515.625000	-68.611198
3521.484375	-68.164894
3527.343750	-67.114044
3533.203125	-66.692345
3539.062500	-67.630814
3544.921875	-67.745911
3550.781250	-69.661736
3556.640625	-69.628418
3562.500000	-68.891350
3568.359375	-69.993095
3574.218750	-71.429680
3580.078125	-71.194077
3585.937500	-69.631760
3591.796875	-68.515434
3597.656250	-66.756195
3603.515625	-66.405975
3609.375000	-67.248901
3615.234375	-67.014587
3621.093750	-66.908081
3626.953125	-67.543358
3632.812500	-68.353737
3638.671875	-68.898361
3644.531250	-68.586205
3650.390625	-66.216171
3656.250000	-67.550034
3662.109375	-70.898941
3667.968750	-70.072845
3673.828125	-69.078629
3679.687500	-70.779648
3685.546875	-71.389954
3691.406250	-69.225777
3697.265625	-67.340363
3703.125000	-67.244850
3708.984375	-67.636612
3714.843750	-68.380379
3720.703125	-68.619652
3726.562500	-69.109116
3732.421875	-70.826653
3738.281250	-69.166313
3744.140625	-67.940567
3750.000000	-69.710327
3755.859375	-71.214981
3761.718750	-70.900757
3767.578125	-70.480003
3773.437500	-71.181793
3779.296875	-70.834312
3785.156250	-71.256943
3791.015625	-71.429352
3796.875000	-70.403061
3802.734375	-69.956833
3808.593750	-68.530647
3814.453125	-67.562294
3820.312500	-67.274963
3826.171875	-66.964302
3832.031250	-68.037880
3837.890625	-67.934418
3843.750000	-69.054291
3849.609375	-68.333519
3855.468750	-66.822685
3861.328125	-68.866203
3867.187500	-70.494064
3873.046875	-69.828201
3878.906250	-69.128609
3884.765625	-67.832283
3890.625000	-70.603844
3896.484375	-69.303787
3902.343750	-68.302544
3908.203125	-69.867188
3914.062500	-70.190651
3919.921875	-69.472321
3925.781250	-69.987335
3931.640625	-70.540634
3937.500000	-70.350212
3943.359375	-70.208588
3949.218750	-69.826080
3955.078125	-71.290138
3960.937500	-69.395828
3966.796875	-68.580933
3972.656250	-72.295860
3978.515625	-72.941345
3984.375000	-72.101349
3990.234375	-71.420639
3996.093750	-70.062927
4001.953125	-70.087173
4007.812500	-70.817657
4013.671875	-71.169731
4019.531250	-71.338181
4025.390625	-71.294754
4031.250000	-70.054413
4037.109375	-69.903076
4042.968750	-71.422455
4048.828125	-72.741753
4054.687500	-74.150879
4060.546875	-72.257545
4066.406250	-68.997070
4072.265625	-70.435051
4078.125000	-72.033974
4083.984375	-70.745583
4089.843750	-71.081490
4095.703125	-71.274948
4101.562500	-71.737061
4107.421875	-71.158394
4113.281250	-70.868965
4119.140625	-71.673965
4125.000000	-71.440697
4130.859375	-69.907974
4136.718750	-71.418098
4142.578125	-72.149727
4148.437500	-69.104919
4154.296875	-70.548843
4160.156250	-71.025444
4166.015625	-71.575592
4171.875000	-69.802879
4177.734375	-68.356613
4183.593750	-70.172302
4189.453125	-70.656830
4195.312500	-69.521141
4201.171875	-69.576408
4207.031250	-68.945824
4212.890625	-69.479927
4218.750000	-69.541695
4224.609375	-70.428543
4230.468750	-72.075165
4236.328125	-72.509087
4242.187500	-74.114571
4248.046875	-73.775543
4253.906250	-73.866211
4259.765625	-73.707466
4265.625000	-73.287422
4271.484375	-73.666924
4277.343750	-73.543388
4283.203125	-72.032608
4289.062500	-70.569382
4294.921875	-72.399345
4300.781250	-73.552132
4306.640625	-71.919327
4312.500000	-71.787895
4318.359375	-71.553452
4324.218750	-71.335655
4330.078125	-71.000809
4335.937500	-70.750473
4341.796875	-72.350174
4347.656250	-74.215576
4353.515625	-73.650330
4359.375000	-72.072006
4365.234375	-73.076553
4371.093750	-74.021217
4376.953125	-70.910965
4382.812500	-70.019836
4388.671875	-72.533623
4394.531250	-72.711304
4400.390625	-72.283264
4406.250000	-71.834435
4412.109375	-70.658661
4417.968750	-70.927254
4423.828125	-71.364876
4429.687500	-70.850220
4435.546875	-71.463005
4441.406250	-73.044807
4447.265625	-74.127380
4453.125000	-75.835541
4458.984375	-75.464157
4464.843750	-74.229416
4470.703125	-73.358559
4476.562500	-74.038963
4482.421875	-74.245026
4488.281250	-72.385735
4494.140625	-72.630272
4500.000000	-71.683601
4505.859375	-72.333359
4511.718750	-73.061386
4517.578125	-73.305618
4523.437500	-72.320290
4529.296875	-72.771614
4535.156250	-70.805229
4541.015625	-67.799759
4546.875000	-72.457245
4552.734375	-76.186684
4558.593750	-76.061981
4564.453125	-75.482552
4570.312500	-75.115898
4576.171875	-74.435448
4582.031250	-73.826286
4587.890625	-73.285629
4593.750000	-73.386597
4599.609375	-72.210175
4605.468750	-70.061523
4611.328125	-73.151955
4617.187500	-73.119186
4623.046875	-74.779228
4628.906250	-75.430382
4634.765625	-74.293930
4640.625000	-75.085709
4646.484375	-73.267151
4652.343750	-72.945335
4658.203125	-72.593140
4664.062500	-72.372002
4669.921875	-74.400909
4675.781250	-74.472008
4681.640625	-73.623520
4687.500000	-73.206413
4693.359375	-71.991783
4699.218750	-72.409325
4705.078125	-73.742500
4710.937500	-73.259407
4716.796875	-71.770470
4722.656250	-72.864357
4728.515625	-73.284096
4734.375000	-73.222198
4740.234375	-73.242348
4746.093750	-73.017616
4751.953125	-75.397919
4757.812500	-75.575005
4763.671875	-73.180168
4769.531250	-74.942299
4775.390625	-76.153465
4781.250000	-73.099731
4787.109375	-72.956238
4792.968750	-72.134834
4798.828125	-72.482834
4804.687500	-72.644722
4810.546875	-71.800079
4816.406250	-72.616486
4822.265625	-74.400108
4828.125000	-72.852936
4833.984375	-73.374954
4839.843750	-76.324783
4845.703125	-76.713432
4851.562500	-75.093758
4857.421875	-73.867844
4863.281250	-74.212334
4869.140625	-72.281273
4875.000000	-70.059586
4880.859375	-73.035507
4886.718750	-72.428871
4892.578125	-72.376228
4898.437500	-72.293411
4904.296875	-73.807579
4910.156250	-75.406204
4916.015625	-75.858856
4921.875000	-75.489449
4927.734375	-74.479729
4933.593750	-74.130806
4939.453125	-74.378899
4945.312500	-75.654694
4951.171875	-76.476944
4957.031250	-76.355629
4962.890625	-73.957298
4968.750000	-74.284851
4974.609375	-74.186737
4980.468750	-73.053986
4986.328125	-71.568687
4992.187500	-71.729904
4998.046875	-71.691704
5003.906250	-69.761490
5009.765625	-69.781021
